shiptype,ton,length
Cargo ships,396,35
Cargo ships,396,34
Cargo ships,396,33
Cargo ships,396,32
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,30
Cargo ships,396,28
Cargo ships,396,25
Cargo ships,396,25
Cargo ships,396,25
Cargo ships,396,25
Cargo ships,396,25
Cargo ships,396,25
Cargo ships,396,25
Cargo ships,396,22
Cargo ships,396,20
Cargo ships,396,20
Cargo ships,396,20
Cargo ships,396,20
Cargo ships,396,20
Cargo ships,396,20
Cargo ships,396,10
Cargo ships,396,10
Cargo ships,396,10
Cargo ships,396,8
Cargo ships,396,5
Cargo ships,396,5
Cargo ships,396,5
Cargo ships,396,5
Cargo ships,396,0
Cargo ships,409,44
Cargo ships,409,44
Cargo ships,409,41
Cargo ships,409,41
Cargo ships,409,41
Cargo ships,409,41
Cargo ships,409,40
Cargo ships,409,40
Cargo ships,409,40
Cargo ships,409,39
Cargo ships,409,38
Cargo ships,409,36
Cargo ships,409,35
Cargo ships,409,34
Cargo ships,409,31
Cargo ships,409,31
Cargo ships,409,20
Cargo ships,409,6
Cargo ships,409,3
Cargo ships,434,48
Cargo ships,434,45
Cargo ships,434,45
Cargo ships,434,45
Cargo ships,434,44
Cargo ships,434,42
Cargo ships,434,42
Cargo ships,434,42
Cargo ships,434,42
Cargo ships,434,42
Cargo ships,434,42
Cargo ships,434,42
Cargo ships,434,42
Cargo ships,434,41
Cargo ships,434,40
Cargo ships,434,40
Cargo ships,434,40
Cargo ships,434,40
Cargo ships,434,40
Cargo ships,434,40
Cargo ships,434,40
Cargo ships,434,40
Cargo ships,434,40
Cargo ships,434,40
Cargo ships,434,40
Cargo ships,434,40
Cargo ships,434,40
Cargo ships,434,40
Cargo ships,434,40
Cargo ships,434,40
Cargo ships,434,40
Cargo ships,434,40
Cargo ships,434,40
Cargo ships,434,40
Cargo ships,434,38
Cargo ships,434,35
Cargo ships,434,35
Cargo ships,434,32
Cargo ships,434,32
Cargo ships,434,32
Cargo ships,434,32
Cargo ships,434,30
Cargo ships,434,30
Cargo ships,434,30
Cargo ships,434,26
Cargo ships,434,26
Cargo ships,434,20
Cargo ships,434,10
Cargo ships,459,50
Cargo ships,459,48
Cargo ships,459,47
Cargo ships,459,45
Cargo ships,459,45
Cargo ships,459,45
Cargo ships,459,45
Cargo ships,459,45
Cargo ships,459,45
Cargo ships,459,45
Cargo ships,459,45
Cargo ships,459,44
Cargo ships,459,43
Cargo ships,459,43
Cargo ships,459,43
Cargo ships,459,43
Cargo ships,459,43
Cargo ships,459,43
Cargo ships,459,43
Cargo ships,459,43
Cargo ships,459,43
Cargo ships,459,43
Cargo ships,459,43
Cargo ships,459,43
Cargo ships,459,43
Cargo ships,459,43
Cargo ships,459,43
Cargo ships,459,43
Cargo ships,459,43
Cargo ships,459,43
Cargo ships,459,43
Cargo ships,459,42
Cargo ships,459,42
Cargo ships,459,42
Cargo ships,459,42
Cargo ships,459,42
Cargo ships,459,42
Cargo ships,459,42
Cargo ships,459,42
Cargo ships,459,41
Cargo ships,459,41
Cargo ships,459,41
Cargo ships,459,41
Cargo ships,459,41
Cargo ships,459,41
Cargo ships,459,41
Cargo ships,459,41
Cargo ships,459,41
Cargo ships,459,41
Cargo ships,459,41
Cargo ships,459,41
Cargo ships,459,41
Cargo ships,459,41
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
Cargo ships,459,40
